Título,Precio de venta,Editor,Fecha de lanzamiento,Idioma,Subtítulos,Año,País,Duración,Calificación,Link
Arma letal (Blu-Ray),N/A,Warner,6 de marzo de 2019,"Inglés, DTS HD Master Audio 5,1
Ruso, Dolby Digital 5
Castellano, Dolby Digital 1
Portugués, Dolby Digital 1
Japonés, Dolby Digital 2
Tamil, Dolby Digital 5
Polaco, Dolby Digital 5
Castellano, Dolby Digital 5
Alemán, Dolby Digital 5
Italiano, Dolby Digital 5","Castellano
Portugués
Búlgaro
Holandés
Griego
Japonés
Noruego
Polaco",1987,EEUU,110 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A29658043-arma-letal-blu-ray/?parentCategoryId=999.54220013&color=default
A TODO GAS: TOKYO RACE (BLU-RAY),N/A,,22 de marzo de 2018,"Alemán
Alemán
Alemán
Alemán
Alemán
Alemán
Alemán","Mandarín Tradicional
Mandarín Tradicional
Mandarín Tradicional
Mandarín Tradicional
Mandarín Tradicional
Mandarín Tradicional
Mandarín Tradicional
Mandarín Tradicional",2006,,,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A3865108-a-todo-gas-tokyo-race-blu-ray/?parentCategoryId=999.54220013&color=default
Fast & Furious 9 (DVD),"17,95 €",UNIVERSAL,29 de octubre de 2021,",",,2020,EEUU,,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A40296549-fast-and-furious-9-dvd/?parentCategoryId=999.54220013&color=default
The Equalizer 3 (DVD),"17,95 €",Sony,14 de diciembre de 2023,"Inglés, Dolby Digital 5,1
Castellano, Dolby Digital 5,1",Castellano,2023,EEUU,104 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A49875342-the-equalizer-3-dvd/?parentCategoryId=999.54220013&color=default
Kill Boy (Blu-Ray),"19,95 €",DEAPLANETA,20 de noviembre de 2024,"Inglés, DTS HD Master Audio 5,1
Castellano, DTS HD Master Audio 5,1",Castellano,2023,EEUU,110 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A53441686-kill-boy-blu-ray/?parentCategoryId=999.54220013&color=default
12 TRAMPAS: VERSION EXTREMA (DVD),3 €,,15 de marzo de 2018,"Inglés
Inglés
Inglés",Español,2009,,,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/MP_0008555_8420266948045-12-trampas-version-extrema-dvd/?parentCategoryId=999.54220013&color=default
Mazinger Z : Ed. Impacto - Box 1 (Blu-Ray) (Shin Mazinger Shogek Z Hen),"18,69 €",,29 de noviembre de 2017,"Castellano
Castellano",Español,,España,,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/MP_0008858_8414533078283-mazinger-z--ed-impacto-box-1-blu-ray-shin-mazinger-shogek-z-hen/?parentCategoryId=999.54220013&color=default
Espartaco. Edición Horizontal (DVD),N/A,UNIVERSAL,29 de mayo de 2019,",",,1960,EEUU,,,https://www.elcorteingles.es/cine/A10093476-espartaco-edicion-horizontal-dvd/?parentCategoryId=999.54220013&color=default
El Hobbit. Trilogía Cinematográfica (DVD),"29,95 €",Warner,21 de abril de 2015,",",,,,,,https://www.elcorteingles.es/cine/A16734377-el-hobbit-trilogia-cinematografica-dvd/?parentCategoryId=999.54220013&color=default
Déjà Vu (DVD),"9,99 €",DIVISA RED S. A.,23 de octubre de 2014,"Castellano, Dolby Digital 5,1
Inglés, Dolby Digital 5,1","Castellano
Inglés
Sueco
Noruego
Danés
Finlandés
Islandés
Portugués",2006,EEUU,128 min,,https://www.elcorteingles.es/cine/A16747413-deja-vu-dvd/?parentCategoryId=999.54220013&color=default
John Wick: Pacto de sangre (DVD),"10,99 €",EONE,12 de junio de 2019,"Inglés, 5,1
Castellano, 5,1",Castellano,2017,EEUU,115 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A23312057-john-wick-pacto-de-sangre-dvd/?parentCategoryId=999.54220013&color=default
Cuenta conmigo (DVD),"7,99 €",SONY PICTURES HOME ENTERTAINMENT,3 de octubre de 2018,"Castellano, Mono
Alemán, Mono
,
Francés, Mono
Italiano, Mono
Inglés, Mono","Inglés
Castellano
Francés
Alemán
Polaco
Danés
Húngaro
Portugués",1986,EEUU,85 min,Para todos los públicos,https://www.elcorteingles.es/cine/A27815581-cuenta-conmigo-dvd/?parentCategoryId=999.54220013&color=default
Las aventuras de Tintín: El secreto del unicornio (Blu-Ray),"10,99 €",SONY PICTURES HOME ENTERTAINMENT,14 de noviembre de 2018,"Castellano, DTS HD Master Audio 5,1
,
Catalán, Dolby Digital 5,1
,
,
Inglés, DTS HD Master Audio 5,1","Castellano
Portugués
Inglés",2011,EEUU,107 min,Para todos los públicos,https://www.elcorteingles.es/cine/A28262594-las-aventuras-de-tintin-el-secreto-del-unicornio-blu-ray/?parentCategoryId=999.54220013&color=default
Los Bárbaros (Blu-Ray),"13,99 €","MPO Ibérica, S.L.",10 de julio de 2019,"Castellano, Dolby Digital 2
Inglés,","Castellano
Inglés",1987,Italia,87 min,Para todos los públicos,https://www.elcorteingles.es/cine/A31188685-los-barbaros-blu-ray/?parentCategoryId=999.54220013&color=default
Pack Rambo: La Trilogía (Blu-Ray),"21,99 €",DIVISA RED S. A.,5 de septiembre de 2019,Castellano,,,,,,https://www.elcorteingles.es/cine/A31472924-pack-rambo-la-trilogia-blu-ray/?parentCategoryId=999.54220013&color=default
Dos policías rebeldes 3 (4K UHD + Blu-Ray),"30,99 €",SONY PICTURES HOME ENTERTAINMENT,8 de mayo de 2020,",",,2019,EEUU,123 min,,https://www.elcorteingles.es/cine/A34567933-dos-policias-rebeldes-3-4k-uhd--blu-ray/?parentCategoryId=999.54220013&color=default
Los Tártaros (DVD),N/A,"MPO Ibérica, S.L.",19 de febrero de 2020,"Castellano, 2
Inglés, 2",Castellano,1961,Italia,83 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A34957352-los-tartaros-dvd/?parentCategoryId=999.54220013&color=default
Piratas del Caribe. El cofre del hombre muerto (DVD),N/A,WALT DISNEY PICTURES,29 de mayo de 2019,"Inglés, 5,1
Castellano, 5,1","Castellano
Inglés
Portugués",Mon Nov 13 00:00:00 CET 2006,,144 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A3847582-piratas-del-caribe-el-cofre-del-hombre-muerto-dvd/?parentCategoryId=999.54220013&color=default
KING KONG ED.BESTSELLER (DVD),"6,99 €",UNIVERSAL,5 de agosto de 2010,",",,0,,,,https://www.elcorteingles.es/cine/A3849007-king-kong-edbestseller-dvd/?parentCategoryId=999.54220013&color=default
Ben-Hur (2016) (Blu-Ray),"12,99 €",DIVISA RED S. A.,4 de marzo de 2021,"Castellano
Inglés",Castellano,2016,EEUU,124 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A38745738-ben-hur-2016-blu-ray/?parentCategoryId=999.54220013&color=default
Jack Ryan: Operación Sombra (4K Ultra HD + Blu-Ray),"19,99 €",DIVISA RED S. A.,4 de marzo de 2021,"Castellano
Inglés",Castellano,2014,EEUU,105 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A38745747-jack-ryan-operacion-sombra-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Mercenarios de Élite (Blu-Ray),"12,99 €",DIVISA RED S. A.,6 de mayo de 2021,"Castellano
Inglés",Castellano,2020,EEUU,95 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A39450710-mercenarios-de-elite-blu-ray/?parentCategoryId=999.54220013&color=default
¡Scalps! Venganza india (Blu-Ray),"12,95 €","MPO Ibérica, S.L.",30 de septiembre de 2021,"Castellano, Dolby Digital 2
Italiano, Dolby Digital 2
Francés, Dolby Digital 2
Alemán, Dolby Digital 2
Inglés, DTS HD Master Audio 2",Castellano,1987,Italia,101 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A41270709-scalps-venganza-india-blu-ray/?parentCategoryId=999.54220013&color=default
Snake Eyes: El Origen (Edición Metálica) (4K Ultra HD + Blu-Ray),"31,99 €",DIVISA RED S. A.,17 de noviembre de 2021,"Castellano
Inglés
Francés
Alemán
Italiano
Polaco
Húngaro
Checo","Castellano
Inglés
Francés
Alemán
Sueco
Italiano
Finés
Noruego
Danés
Portugués",2021,EEUU,121 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A41463530-snake-eyes-el-origen-edicion-metalica-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
La espada invencible (Blu-Ray),"12,95 €","MPO Ibérica, S.L.",14 de enero de 2022,"Castellano, Dolby Digital 2
Inglés, DTS HD Master Audio 2","Castellano
Inglés",1981,Reino Unido,93 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A42260071-la-espada-invencible-blu-ray/?parentCategoryId=999.54220013&color=default
Tango y Cash (DVD),N/A,Warner,15 de diciembre de 2022,"Inglés, Dolby Digital 5,1
Castellano, Dolby Digital 5,1",Castellano,1989,EEUU,,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A45904330-tango-y-cash-dvd/?parentCategoryId=999.54220013&color=default
El especialista (Blu-Ray),"19,95 €",UNIVERSAL,28 de agosto de 2024,"Castellano, Dolby Digital Plus 7,1
Inglés, Dolby Atmos",Castellano,2024,EEUU,126 min,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A52641411-el-especialista-blu-ray/?parentCategoryId=999.54220013&color=default
Elegidos para la gloria (Blu-Ray),"11,95 €",WARNER HBO,25 de septiembre de 2024,"Inglés, Dolby Digital 5,1
Castellano, Dolby Digital 1",Castellano,1983,EEUU,192 min,Para todos los públicos,https://www.elcorteingles.es/cine/A52766445-elegidos-para-la-gloria-blu-ray/?parentCategoryId=999.54220013&color=default
Muerte súbita (Blu-Ray),"9,99 €",UNIVERSAL,17 de septiembre de 2013,"Inglés, DTS HD Master Audio, 5,1
Castellano, DTS, Digital Surround, 5,1
Italiano, DTS, Digital Surround, 5,1
Italiano, DTS, Digital Surround, 5,1
Alemán, DTS, Digital Surround, 5,1
Japonés, DTS, Digital Surround, 5,1
Portugués, DTS, Digital Surround, 5,1
Español De América, DTS, Digital Surround, 2","Castellano
Italiano
Alemán
Japonés
Brasileño
Checo
Danés
Holandés
Griego
Húngaro
Finlandés
Coreano
Noruego
Polaco
Portugués
Sueco
Tailandés
Ruso
Turco
Mandarín
Francés",,,110 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A9442619-muerte-subita-blu-ray/?parentCategoryId=999.54220013&color=default
Pack James Bond: Volumen 3 (Blu-Ray),"24,50 €","T.C. Fox. H.E. ESPAñA, S.A.",1 de enero de 2007,",",,,,,No Disponible,https://www.elcorteingles.es/cine/MP_0000572_cine35108-pack-james-bond-volumen-3-blu-ray/?parentCategoryId=999.54220013&color=default
Pack Terminator + Predator (Duo) (DVD),N/A,"T.C. Fox. H.E. ESPAñA, S.A.",23 de noviembre de 2016,",",,,,,No Disponible,https://www.elcorteingles.es/cine/MP_0000572_cine5636-pack-terminator--predator-duo-dvd/?parentCategoryId=999.54220013&color=default
El Equipo A (DVD+ copia digital) (DVD),12 €,"T.C. Fox. H.E. ESPAñA, S.A.",7 de abril de 2025,"Italiano
Francés
Castellano","Francés
Portugués",,,107,No Disponible,https://www.elcorteingles.es/cine/MP_0000572_cine6585-el-equipo-a-dvd-copia-digital-dvd/?parentCategoryId=999.54220013&color=default
007 Skyfall (DVD),"9,95 €",MGM,27 de diciembre de 2013,"Inglés, Dolby Digital 5,1
Castellano, Dolby Digital 5,1
Francés, Dolby Digital 5,1","Francés
Danés
Finés
Holandés
Noruego
Sueco",,EEUU,137 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A10283955-007-skyfall-dvd/?parentCategoryId=999.54220013&color=default
Trilogía El Hobbit (DVD),N/A,Warner,17 de noviembre de 2015,",",,,,,,https://www.elcorteingles.es/cine/A16652947-trilogia-el-hobbit-dvd/?parentCategoryId=999.54220013&color=default
The guest (Blu-Ray),"15,99 €",A CONTRACORRIENTE,19 de mayo de 2015,"Inglés
Castellano",Castellano,2014,EEUU,96 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A16734864-the-guest-blu-ray/?parentCategoryId=999.54220013&color=default
El Hobbit. Un viaje inesperado. Parte 1 (Blu-Ray),N/A,Warner Bros Entertainment,21 de abril de 2015,"Castellano, 5,1
Italiano, 5,1
Francés, 5,1","Castellano
Holandés
Francés",2012,EEUU,175 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A16748892-el-hobbit-un-viaje-inesperado-parte-1-blu-ray/?parentCategoryId=999.54220013&color=default
Los Vengadores: La Era De Ultrón (DVD),"11,99 €",Marvel,23 de septiembre de 2015,",",,,,,,https://www.elcorteingles.es/cine/A16748948-los-vengadores-la-era-de-ultron-dvd/?parentCategoryId=999.54220013&color=default
Infierno azul (DVD),"10,99 €",SONY PICTURES HOME ENTERTAINMENT,30 de noviembre de 2016,"Castellano, Dolby Digital 5,1
Inglés, Dolby Digital 5,1","Castellano
Polaco",2016,EEUU,,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A20577761-infierno-azul-dvd/?parentCategoryId=999.54220013&color=default
King Kong (Blu-Ray),"9,99 €",UNIVERSAL,15 de marzo de 2017,"Castellano, DTS 5,1
Inglés, DTS-HD 5,1
Alemán, DTS 5,1
Francés, DTS 5,1
Italiano, DTS 5,1","Castellano
Alemán
Francés
Italiano
Japonés
Danés
Holandés
Finés
Griego
Coreano
Noruego
Sueco
Chino",2008,EEUU,126 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A21872747-king-kong-blu-ray/?parentCategoryId=999.54220013&color=default
El Señor de los Anillos: La comunidad del anillo (Blu-Ray),"13,95 €",Warner,2 de junio de 2017,"Castellano, DTS HD Master Audio
Inglés, DTS HD Master Audio
Italiano, DTS HD Master Audio","Castellano
Danés
Finés
Italiano
Sueco
Islandés
Inglés",2011,EEUU,208 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A22558460-el-senor-de-los-anillos-la-comunidad-del-anillo-blu-ray/?parentCategoryId=999.54220013&color=default
Pack Kick-ass: 1 + 2 (Blu-Ray),"15,99 €",UNIVERSAL,12 de junio de 2019,"Castellano, DTS 5,1
Inglés, DTS HD Master Audio 5,1",Castellano,2013,EEUU,221 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A24177533-pack-kick-ass-1--2-blu-ray/?parentCategoryId=999.54220013&color=default
Máximo riesgo (Blu-Ray),"13,99 €",DIVISA RED S. A.,29 de mayo de 2019,"Castellano
Inglés",Castellano,1999,EEUU,151 min,,https://www.elcorteingles.es/cine/A24360558-maximo-riesgo-blu-ray/?parentCategoryId=999.54220013&color=default
Jurassic World 2: El reino caido (4K Ultra HD + Blu-Ray),"25,99 €",UNIVERSAL,3 de octubre de 2018,"Castellano, DTS HD Master Audio 5,1
,
Catalán, DTS HD Master Audio 5,1
,
,
Inglés, DTS HD Master Audio 5,1","Inglés
Castellano
Catalán",2018,EEUU,129 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A27349456-jurassic-world-2-el-reino-caido-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Hook (DVD),"7,99 €",SONY PICTURES HOME ENTERTAINMENT,12 de junio de 2019,"Castellano, Dolby Digital 5,1
,
,
,
Italiano, Dolby Digital 5,1
Inglés, Dolby Digital 5,1
Inglés, Dolby Digital 5,1","Inglés
Castellano
Italiano
Portugués",1991,EEUU,136 min,Para todos los públicos,https://www.elcorteingles.es/cine/A27629201-hook-dvd/?parentCategoryId=999.54220013&color=default
Revenge (Blu-Ray),"14,95 €",A CONTRACORRIENTE,11 de diciembre de 2018,"Inglés, DTS HD Master Audio 5,1
Castellano, DTS HD Master Audio 5,1","Castellano
Euskera",2017,"Francia
Bélgica",108 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A28155498-revenge-blu-ray/?parentCategoryId=999.54220013&color=default
"Snatch, cerdos y diamantes (Blu-Ray)","10,99 €",SONY PICTURES HOME ENTERTAINMENT,14 de noviembre de 2018,"Castellano, DTS HD Master Audio 5,1
,
,
,
Italiano, DTS HD Master Audio 5,1
Inglés, DTS HD Master Audio 5,1","Castellano
Portugués
Inglés
Italiano",2000,EEUU,103 min,Para todos los públicos,https://www.elcorteingles.es/cine/A28262595-snatch-cerdos-y-diamantes-blu-ray/?parentCategoryId=999.54220013&color=default
Pack El Señor de los Anillos: La trilogía (DVD),"29,95 €",Warner,5 de diciembre de 2018,"Inglés, Dolby Digital 5
Castellano, Dolby Digital 5","Castellano
Inglés",2003,Nueva Zelanda,523 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A28362087-pack-el-senor-de-los-anillos-la-trilogia-dvd/?parentCategoryId=999.54220013&color=default
El Señor del los Anillos: Las dos torres (Blu-Ray),"16,95 €",Warner,5 de diciembre de 2018,",
Castellano, DTS-HD High Resolution
Inglés, DTS-HD High Resolution",Castellano,2002,Nueva Zelanda,179 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A28362159-el-senor-del-los-anillos-las-dos-torres-blu-ray/?parentCategoryId=999.54220013&color=default
Dumbo (Live Action) (DVD),N/A,WALT DISNEY PICTURES,24 de julio de 2019,"Inglés, Dolby Digital 5,1
Griego, Dolby Digital 5,1
Portugués, Dolby Digital 5,1
Castellano, Dolby Digital 5,1
Inglés, Audio Descriptivo","Griego
Portugués
Castellano
Inglés",,América del Norte,107 min,,https://www.elcorteingles.es/cine/A30057469-dumbo-live-action-dvd/?parentCategoryId=999.54220013&color=default
Waterworld (4K Ultra HD + Blu-Ray),"25,99 €",UNIVERSAL,17 de julio de 2019,"Inglés, DTS HD Master Audio 5,1
Castellano, DTS-HD 5,1
Alemán, DTS HD Master Audio 5,1
Italiano, DTS-HD 5,1
Turco, DTS-HD 5,1","Inglés
Castellano
Alemán
Portugués
Turco
Italiano",1995,EEUU,135 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A30912190-waterworld-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
El Rey León (Live Action) (DVD),"9,99 €","THE WALT DISNEY COMPANY IBERIA, S.L.",20 de noviembre de 2019,"Inglés, Dolby Digital 5,1
Portugués, Dolby Digital 5,1
Castellano, Dolby Digital 5,1","Castellano
Portugués",,América del Norte,113 min,,https://www.elcorteingles.es/cine/A31442124-el-rey-leon-live-action-dvd/?parentCategoryId=999.54220013&color=default
Pack Spider-man: Homecoming + Lejos de casa (4K Ultra HD + Blu-Ray),"41,99 €",SONY PICTURES HOME ENTERTAINMENT,25 de octubre de 2019,"Inglés, DTS-HD 7,1
Castellano, DTS HD Master Audio 5,1","Castellano
Inglés",2019,EEUU,262 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A31982814-pack-spider-man-homecoming--lejos-de-casa-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Érase una vez en... Hollywood (Blu-Ray),"15,99 €",SONY PICTURES HOME ENTERTAINMENT,13 de diciembre de 2019,"Inglés, DTS HD Master Audio 5,1
Castellano, DTS HD Master Audio 5,1","Castellano
Inglés
Danés
Estonio
Finés
Flamenco
Noruego",2019,EEUU,161 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A32212259-erase-una-vez-en-hollywood-blu-ray/?parentCategoryId=999.54220013&color=default
La casa de las dagas voladoras (Edición 2020) (Blu-Ray),"11,99 €",SONY PICTURES HOME ENTERTAINMENT,19 de febrero de 2020,"Inglés, Dolby Digital 5,1
Castellano, Dolby Digital 5,1
Chino, Dolby Digital 5,1","Castellano
Inglés
Francés",2004,China,119 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A33436706-la-casa-de-las-dagas-voladoras-edicion-2020-blu-ray/?parentCategoryId=999.54220013&color=default
Pack: Dos policías rebeldes 1-3 (4K Ultra HD + Blu-Ray),"62,99 €",SONY PICTURES HOME ENTERTAINMENT,8 de mayo de 2020,Castellano,,,EEUU,,,https://www.elcorteingles.es/cine/A35293849-pack-dos-policias-rebeldes-1-3-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
47 Ronin: la Leyenda del Samurai (4K Ultra HD + Blu-Ray),"25,99 €",UNIVERSAL,8 de mayo de 2020,Castellano,,2013,EEUU,,,https://www.elcorteingles.es/cine/A35293850-47-ronin-la-leyenda-del-samurai-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
